Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Rexing Inc.,https://rexing.com/,,Unknown,"We are striving to become the leading brand in dash cams by pursuing innovative strategies, and maintaining a strong commitment to our customers, and we are thankful for everyone who supports us.",dashcam,112.45,"•  Cameras  and  Sensors:      ◦  Dashcam  solutions  frequently  incorporate  a  compact  2-camera  unit  for  front  and  in-cabin  
views.
     ◦  Target  cameras  often  feature  4MP  resolution  ...",,,success
,Spectricity NV,https://spectricity.com/about-us/,,Unknown,"Founded in 2018 as a spin-off from Imec and headquartered in Belgium, Spectricity is a fabless semiconductor company specializing in the development and manufacturing of spectral sensing. Spectricity ...",dashcam,116.95,"Selected Semiconductor Platforms for Reliable Products
Private & Confidential rapidise.coAll images shown are for illustrative purposes only. Actual products or results may vary
Rapidise works with se...",https://www.linkedin.com/company/spectricity/,,success
,"Luxoft USA, Inc.",https://www.luxoft.com/about-us,,Unknown,"DXC Technology helps the world’s most innovative organizations flourish in this era of AI, delivering services and solutions that customers depend on. Our engineering, consulting and technology expert...",dashcam,132.24,"• Objective: Accolade  is looking to develop a DMS Dash camera from 
scratch based on their requirements shared, the Dash camera will be 
mainly used in the OEM Market.
• Current stage of development:...",,UK,success
,VOXX By Gentex Corporation,https://www.voxxelectronics.com/,,Unknown,"VOXX By Gentex Corporation has been driving innovation for over 60 years, supplying Automotive and Consumer Electronics on a global basis. We have a broad range of products sold under a portfolio of m...",dashcam,135.7,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",https://www.linkedin.com/company/voxxelectronics,USA,success
,Tanlink Corporation,https://tanlinkcorp.com/,,Unknown,"Manufacturer of dash cameras, mirror cameras, and battery jumpers.",dashcam,136.33,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",,,success
,Morsum Inc,https://www.morsuminc.net/,,Unknown,"Morsum Inc., founded in May 2022, is an emerging automotive electronics and IoT solutions provider. Backed by strong R&D, modern systems, and advanced facilities, we specialize in design, manufacturin...",dashcam,142.32,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",,,success
,Tensor Auto Inc.,https://www.tensor.auto/,,Unknown,"Tensor is an American AI company building personal agentic products. Our flagship Tensor Robocar is the world’s first level 4 fully autonomous vehicle designed for private ownership, featuring a ""Dual...",dashcam,142.54,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",https://www.linkedin.com/company/tensor-auto/,,success
,Mars International,https://www.marsint.com/,,Unknown,Printed circuit board assembly with both domestic and off-shore manufacturing options. Full product design capabilities with expertise in IoT integration. Capable of handling low to high volume manu...,dashcam,145.09,"Multilayer
 
PCB
 
Layout
 
Design,
 
High-Speed
 
Board
 
Design,
 
and
 
Analog
 
&
 
RF
 
Design.
 •  Optimization  and  Tuning:  Services  cover  Bill  of  Materials  (BoM)  Optimization,  Antenna...",https://www.linkedin.com/company/mars-international-inc-/,mars international,success
,Parallel Domain,https://paralleldomain.com/,,Unknown,"Parallel Domain accelerates the path to safe autonomy with high-fidelity digital twins from customer data that bridge simulation and reality. Our sensor simulation platform (camera, lidar, radar) supp...",dashcam,145.36,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",https://www.linkedin.com/company/parallel-domain/,,success
,Mobileye,https://www.mobileye.com/,,Unknown,"Mobileye leads the mobility revolution with its autonomous-driving and driver-assist technologies, harnessing world-renowned expertise in computer vision, machine learning, mapping, and data analysis....",dashcam,152.94,"NPU)
 
and
 
RISE
 
Y1
 
(Qualcomm
 
SM6225,
 
featuring
 
2
 
TOPS
 
NPU).
 
The
 
Dashcam
 
variant
 
of
 
the
 
RISE
 
C1
 
platform
 
features
 
a
 
Hexagon
 
DSP
 
and
 
a
 
1
 
TOPS
 
NPU.
 •  E...",https://www.linkedin.com/company/24017,,success
,Gentex Corporation,https://www.gentex.com/,,Unknown,"Gentex is a technology company and long-time supplier of electro-optical products for the global automotive, aerospace, and fire protection industries. We supply nearly every major automaker with conn...",dashcam,153.19,"Rapidise  operates  as  an  Original  Design  Manufacturer  (ODM)  leveraging  its  12+  years  of  design  and  
25+
 
years
 
of
 
manufacturing
 
experience
 
to
 
deliver
 
complex
 
dashcam
 
and...",https://www.linkedin.com/company/gentex-corporation/,,success
,"Samsung Electronics America, Inc.",https://www.samsung.com/us/?msockid=13f69bed67d7697a34ca8d40663868b3,,Unknown,"Samsung Ads is an advertising ecosystem spanning hundreds of millions of smart devices across TV, mobile, and desktop. Our unrivaled understanding of consumers, powered by exclusive Samsung data and i...",dashcam,153.54,"• Objective: Accolade  is looking to develop a DMS Dash camera from 
scratch based on their requirements shared, the Dash camera will be 
mainly used in the OEM Market.
• Current stage of development:...",,used during reserve period. reservation gift is a one-time use e-certificate; when first used,success
,"Otter Products, LLC",https://otter.ai/?msockid=346dde9f619c66ce39afc83260e76790,,Unknown,"From humble beginnings in a Fort Collins, Colo. garage, OtterBox has spent over 25 years mastering the art of protection, delivering durable yet stylish phone cases that can go anywhere, do anything, ...",dashcam,154.22,"designed
 
to
 
automatically
 
connect
 
to
 
an
 
emergency
 
call
 
center
 
upon
 
accident
 
detection,
 
providing
 
video
 
data
 
transmission.
 
The
 
device
 
includes
 
an
 
integrated
 
co...",https://www.linkedin.com/company/otter-ai/mycompany/,,success
,"Fujitsu North America, Inc.",https://fujitsuna.com/,,Unknown,"Fujitsu, a pioneer in global technology, will showcase its groundbreaking innovations. Focusing on sustainability transformation, Fujitsu leverages advanced AI, quantum computing, and digital twin tec...",dashcam,154.94,"Selected Semiconductor Platforms for Reliable Products
Private & Confidential rapidise.coAll images shown are for illustrative purposes only. Actual products or results may vary
Rapidise works with se...",https://www.linkedin.com/company/fujitsu,,success
,IDB Inc.,https://www.iadb.org/en,,,"AIoT-based safety system integrating on-device edge and cloud intelligence. It detects anomalies, predicts hazards, and executes agentic AI-driven SOPs to prevent fires, failures, and risks. Designed ...",dashcam,155.53,"Edge  AI  Software  (ADAS/DMS)  
The  software  stack  includes  embedded  capabilities  on  Linux  and  AOSP .  AI/ML  algorithms  are  applied  for  computer  vision.  Specific  applications  includ...",,,no_website
,JATCO Ltd,https://www.jatco.co.jp/english/,,Unknown,"JATCO Ltd. is the world's leading CVT transmission manufacturer and electrified powertrain specialist. With global production facilities and 50+ years of innovation, we're expanding into new mobility ...",dashcam,155.81,"emergency
 
call
 
system
 
developed
 
for
 
the
 
Japan
 
AI
 
Box,
 
including
 
the
 
SOS
 
button,
 
voice
 
call
 
functions,
 
and
 
automatic
 
accident-triggered
 
video
 
transmission,
 
is
...",,,success
,Rapidus Corporation,https://www.rapidus.inc/en/,,Unknown,"Rapidus 2nm foundry & advanced packaging center in Hokkaido, Japan, will start volume operations in 2027. Named IIM for ""Innovative Integration for Manufacturing"", Rapicus aims to build energy-effici...",dashcam,156.84,"Rapidise
 
ADAS
 
&
 
DMS
 
Analytics
 
Dashboard
 
and
 
a
 
Device
 
Management
 
&
 
Analytics
 
system.
 •  Mobile/Web  Apps:  Develops  Web  &  Mobile  Applications  (iOS  and  Android),  API  in...",,,success
,Sanjiang Innovations Inc.,https://www.douyin.com/,,,"Vantrue is a leading innovator in premium dash cams, featuring patented imaging technologies, true 4K recording, and AI-assisted safety. Trusted by millions worldwide, Vantrue delivers real performanc...",dashcam,158.51,"IoT/Connected
 
Vehicle
 
solutions,
 
and
 
Telematics.
 
Their
 
ODM
 
capabilities
 
specifically
 
cover
 
Camera
 
Modules
 
&
 
Products,
 
Driver
 
Monitoring
 
Systems
 
(DMS),
 
Vision
 
Algo...",,,no_website
