Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,velavu,https://www.velavu.com/,,Unknown,"The Velavu ecosystem is a simple, yet powerful experience to oversee your assets, inventory, and processes through customised solutions and exceptionally crafted software and devices. Our devices inte...",beacon,134.35,"N1 use cases Copyright © 2025, Rapidise N1 is the ultimate go-to choice of versatile asset tracking applications across industries. Proudly 100% designed and developed in India, N1 is engineered for ...",https://www.linkedin.com/company/velavu,,success
,Fanstel Corporation,https://www.fanstel.com/,,Unknown,"Fanstel based in Scottsdale Arizona, established in 1990, is a manufacturer of (1) Bluetooth, WiFi, LTE, and LoRa wireless modules for medical devices, wearable devices, sport equipment, smart homes, ...",beacon,135.59,"or Nordic (nRF52805 or nRF52820) chipsets. These chips facilitate communication using Bluetooth 5.3 or earlier standards, offering up to a 100m range in open areas. • Power Efficiency: The beacons ...",https://www.linkedin.com/company/fanstel/,United States,success
,SRK Techtronics,https://www.srktechtronics.com/index.html,,Unknown,"SRK Techtronics (SRKTT) is an Electronics System Design and Manufacturing company offering a wide spectrum capability for Design, Prototype Development, and Build-to-Print/Build-to-Spec manufacturing ...",beacon,139.91,"Why Rapidise ? Reliable b y Design /gCEA 27+ years of legacy in EMS & product design Proven track record in high-quality electronics manufacturing FCC, CE, RoHS compliant Every unit passes rigorous...",https://www.linkedin.com/company/srk-techtronics/,India,success
,Sharp Electronics Corp.,https://www.sharpusa.com/,,Unknown,"Sharp Corporation is a Japanese multinational electronics corporation that designs, manufactures, and sells a wide range of consumer and professional electronics, including televisions, displays, audi...",beacon,142.72,"• Inspection- In-line X Ray Machine (Viscom (Germany) and Shimadzu (Japan)) • PCB Cleaning (Make: Unitech) ● Electromagnetic Testing (EMI & EMC), ESD (Electrostatic) Control workstation ● Thermal, Hu...",https://www.linkedin.com/company/sharpbusiness/,,success
,IQVIA Digital,https://www.iqviadigital.com/,,Unknown,"IQVIA Digital powers exceptional brand experiences, delivering innovative solutions based on a customer-first, insights-driven, and integrated omnichannel vision. We provide authenticated, enhanced da...",beacon,145.28,"• The deployment of over 1000 beacons at AIIMS Jammu provided seamless indoor navigation through a mobile application, enabling on-time arrivals and a calmer patient experience. This solution redefi...",,,success
,Wheere,https://www.wheere.com/en/,,Unknown,"Wheere is the best in class indoor geolocation solution. At Wheere, we've revolutionized indoor geolocation with an innovative, patented approach that goes beyond the limits of traditional systems. W...",beacon,145.9,"IwayPlus Meets Rapidise A Perfect Hardware3Software Collaboration IwayPlus, a system Integrator, was selected to build an Indoor Navigation System, essentially a ""GPS for indoors"". For reliability, a...",https://fr.linkedin.com/company/wheereloc,,success
,Fourth Frontier Technologies,https://www.fourthfrontier.ca/,,Unknown,"Fourth Frontier creates smart wearable ECG devices, including the Frontier X2 and Frontier X Plus, providing real-time heart insights to help users optimize health, boost performance, and enhance over...",beacon,147.23,"cv N4 N4 is the ultimate go-to choice for versatile asset tracking & monitoring use cases across industries. Proudly 100% designed and developed in India, N4 is engineered for excellence and reliabi...",https://www.linkedin.com/company/fourth-frontier-technologies-corporation/,,success
,Kodenshi Corp,https://www.kodenshi.co.jp/top/en/,,Unknown,"KODENSHI use sensing technology to approach people's lives and lead future technologies. As it searches for sensing technology, KODENSHI will continue to push the boundaries of the future.",beacon,149.91,"cv N2 N2, is the powerhouse for tracking and monitoring critical goods and assets in temperature and humidity-controlled environments. Proudly 100% designed and developed in India, the N2 is meticul...",,,success
,Direction9,https://www.direction9.com/,,Unknown,"Direction9 is a software company developing text input technology for content search, where operating footprint/space is limited. Examples of devices compatible with our software include TV remote con...",beacon,149.97,"N1 use cases Copyright © 2025, Rapidise N1 is the ultimate go-to choice of versatile asset tracking applications across industries. Proudly 100% designed and developed in India, N1 is engineered for ...",,,success
,Zebra Technologies,https://www.zebra.com/us/en.html,,,,beacon,153.48,"misplacement with minimal setup. They track movement and location for efficient asset management. Relevant Beacon Models: All primary models (N1, N2, N3, N4, N14) are designed for versatile Asset T...",http://www.linkedin.com/company/167024,,success
