Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Tunoptix,https://www.tunoptix.com/,,Unknown,"Tunoptix is pioneering next-generation imaging through wafer-scale meta-optics that bring spectral intelligence to mobile and edge devices. Our technology enables high-performance narrowband, broadban...",in_cabin,113.77,rapidise.co Imaging Algorithm Enabling & Image Quality Tuning Teksun leverages it expertise in advanced image processing an tuning technologies. Our solutions include advanced features like image enh...,,,success
,HERE North America LLC,https://www.here.com/,,Unknown,"HERE has been a pioneer in mapping and location technology for 40 years. Today, HERE's location platform is recognized as the most complete in the industry, powering location-based products, services ...",in_cabin,115.58,"Up Display. The system operates on Android 10 or greater and aims to enhance vehicle control, monitoring, and data visualization. The project involved progressing from Design Version 1.0 (PCB Sc...",https://www.linkedin.com/company/here/mycompany/verification/,,success
,ECARX Limited,https://www.ecarxgroup.com/,,Unknown,"ECARX is a smart mobility technology provider supplying full stack, vertically integrated technology solutions for intelligent cockpit and ADAS solutions to automakers as a Tier 1 supplier. We are inn...",in_cabin,120.29,• Deployment: These solutions involve developing AI Models on the Edge and Cloud and utilizing vehicle network interfacing and sensor data conditioning. F. Electronic Control Units (ECUs) ECU devel...,https://www.linkedin.com/company/ecarx/,,success
,"Yazaki Innovations, Inc.",https://www.yazaki-na.com/company/driving-innovation,,Unknown,"Yazaki Innovations is a subsidiary of Yazaki Corp, a private Japanese business with operations in 45 countries and 240,000 employees. We combine the best attributes and strengths of Yazaki's global pr...",in_cabin,122.25,"Rapidise serves as a complete Offshore Development Center (ODC) in the automotive sector, offering an exclusively engineered team with niche expertise in technology-driven automotive solutions. Thei...",https://www.linkedin.com/company/yazaki-north-america,,success
,Cerence AI,,,,"Cerence AI creates intuitive, seamless, AI-powered user experiences for the world's leading automakers, two-wheeler OEMs, and trucking companies.",in_cabin,128.79,"2. Edge-AI Engineering and Innovation Rapidise specializes in IoT and AI-driven product design and development, offering solutions that leverage advanced algorithms for real-time in-vehicle processi...",,,no_website
,emotion3D,https://emotion3d.ai/,,Unknown,emotion3D offers camera-based Driver & Occupant Monitoring Solutions analysing humans & objects in automotive in-cabin environments. The highly customisable and flexible DMS/OMS solutions go beyond re...,in_cabin,132.11,Area of Expertise Deliverables & Technical Details Measurable Impact & Outcome Product Scope Aims to enhance vehicle safety in Japan by developing an advanced emergency call system. The system ...,,,success
,emotion3D,https://emotion3d.ai/,,Unknown,emotion3D offers camera-based Driver & Occupant Monitoring Solutions analysing humans & objects in automotive in-cabin environments. The highly customisable and flexible DMS/OMS solutions go beyond re...,in_cabin,132.11,Area of Expertise Deliverables & Technical Details Measurable Impact & Outcome Product Scope Aims to enhance vehicle safety in Japan by developing an advanced emergency call system. The system ...,,,success
,"ENEOS Holdings, Inc.",https://www.eneos.us/,,Unknown,"While fulfilling our responsibility of providing a stable supply of energy and materials both today and in the future, we will realize a carbon-neutral society through energy transition. This is also ...",in_cabin,132.86,"Rapidise serves as a complete Offshore Development Center (ODC) in the automotive sector, offering an exclusively engineered team with niche expertise in technology-driven automotive solutions. Thei...",,20 n. martingale road,success
,ECOVACS Robotics Inc.,https://www.ecovacs.com/global,,Unknown,"ECOVACS ROBOTICS advances robotic technologies to serve the world and create a holistic ecosystem between human and robotics in lifestyle and production. Over the last 25 years, ECOVACS transformed fr...",in_cabin,136.95,"Rapidise's automotive segment is structured around key product families and technology pillars that align directly with the shift toward software-defined and centralized vehicle architectures, integ...",https://www.linkedin.com/company/ecovacs-robotics-inc-/,USA,success
,ECOVACS Robotics Inc.,https://www.ecovacs.com/global,,Unknown,"ECOVACS ROBOTICS advances robotic technologies to serve the world and create a holistic ecosystem between human and robotics in lifestyle and production. Over the last 25 years, ECOVACS transformed fr...",in_cabin,136.95,"Rapidise's automotive segment is structured around key product families and technology pillars that align directly with the shift toward software-defined and centralized vehicle architectures, integ...",https://www.linkedin.com/company/ecovacs-robotics-inc-/,USA,success
