Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Telementum,https://telementum.com/,,Unknown,"We are a leading developer of global, multi-channel tech accessory brands. Our portfolio of companies deliver iconic consumer products, innovative carrier services and an unrivaled distribution ecosys...",body_cam,136.85,"expertise in developing complex hardware and software solutions, although these 
projects are generally separate from the Bodycam products: 
• Multi-Tenant Access Control System: This project involved...",,,success
.simstechnology,.simstechnology,https://web.whatsapp.com/,Not found on website,,A personal safety wearable device that detects and alerts you when someone or something is approaching you from behind. Our camera-based detection patented device will give you peace of mind anywhere...,body_cam,142.61,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",,,no_website
,Baracoda Daily Healthtech,https://baracoda.com/,,Unknown,Baracoda Daily Healthtech uses its IoT expertise to create innovative smart products that empower people to take control of their daily health.,body_cam,147.27,"expertise in developing complex hardware and software solutions, although these 
projects are generally separate from the Bodycam products: 
• Multi-Tenant Access Control System: This project involved...",https://www.linkedin.com/company/baracoda-group,,success
,Speechmatics,https://www.speechmatics.com/,,Unknown,"Speechmatics is a global leader in Speech Technology, offering enterprise-grade Speech-to-Text and Voice AI powered by Foundational Speech Technology. With best-in-market accuracy, low latency, and br...",body_cam,153.93,"achieved 96.2% Accuracy on a Qualcomm 8155 platform. The system takes 2 
frames to register a new face and has an inference time of less than 1 
second. 
• AI Library (Telep): Rapidise offers an AI mo...",https://www.linkedin.com/company/speechmatics/,USA,success
,Sensforge Inc,https://www.sensforge.com/,,Unknown,"Sensforge is dedicated to creating innovative, AI-driven security solutions that protect our loved ones while capturing life’s beautiful moments.",body_cam,154.88,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",https://www.linkedin.com/company/sensforge/,,success
,VisioLab,https://www.visiolab.io/en,,Unknown,"From grab to go in seconds – Turn the point of sale into a winning experience with VisioLab’s iPad-based self-checkout. AI recognizes every item instantly, guests pay their way: Card, QR, or FacePay. ...",body_cam,155.44,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",https://www.linkedin.com/company/visiolab/,neumarkt 7 49074 osnabrückgermany,success
,Monitoreal,,,,"Monitoreal delivers advanced video surveillance powered by edge AI. Our hardware integrates with existing CCTV systems, enabling real-time object detection and smart alerts without sending video to th...",body_cam,158.75,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",,,no_website
,Braineulink,https://braineulink.com/,,Unknown,BraineuLink Technology Inc develops non-invasive EEG brain-computer interfaces with advanced AI and innovative BCI chips. Our solutions enable seamless brain interaction with digital devices like mobi...,body_cam,160.72,"expertise in developing complex hardware and software solutions, although these 
projects are generally separate from the Bodycam products: 
• Multi-Tenant Access Control System: This project involved...",,,"error: Page.goto: Timeout 15000ms exceeded.
Call log:
  - navigating to ""https://braineulink.com/"", waiting"
,Robbox Tools,https://shop.robboxtools.com/,,Unknown,"At ROBBOX, we’ve created the world’s first intelligent power tool platform—merging precision hardware, adaptive software, and real-time data to empower professionals worldwide. Our technology delivers...",body_cam,164.19,"Solution 2: Hardware-Based Trigger Activation 
Reed Switch Integration: Push-Button Strap Integrated Reed Switch: 
• The Reed Switch is embedded in or affixed to the push-button strap of the holster—c...",,sign up,success
,Doublepoint,https://www.doublepoint.com/,,Unknown,"Doublepoint has built a hardware agnostic gesture detection platform for wearables. Our AI-powered software enables full gesture control for augmented reality, automotive, TV, wearables, robotics, and...",body_cam,168.21,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",https://www.linkedin.com/company/doublepointlab/,helsinki,success
,bHaptics Inc.,https://www.bhaptics.com/?ref=mirrorworld.media,,Unknown,"bHaptics is the innovator and provider of consumer-ready full-body haptics solutions. Join us at CES 2025 and enter a whole new world of real time tactile VR gaming experience using our TactSuit Pro, ...",body_cam,171.99,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",,USA,success
"A-ZoneTech Co., Ltd","A-ZoneTech Co,. Ltd",https://stackoverflow.com/questions/1911109/how-do-i-clone-a-specific-git-branch,Not found,," Detailed information on A-ZoneTech Co., Ltd. could not be reliably sourced; it appears to be a technology company, possibly in electronics or engineering, but no official website or summary was confirmed from available searches.",body_cam,175.76,"expertise in developing complex hardware and software solutions, although these 
projects are generally separate from the Bodycam products: 
• Multi-Tenant Access Control System: This project involved...",,,no_website
,Whisper Heat,https://whisperai.com/,,, ,body_cam,179.71,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",,,success
,Whisper Aero dba Tone Technologies LLC,https://whisperai.com/,,, ,body_cam,179.71,"NPU 1.1 TOPS  
GPU 950 MHz  
ISP Dual(16+24)  
 
3. Proposed Advanced Bodycam Features (AI and 
Hardware Activation) 
Rapidise has developed and proposed solutions to enhance bodycams, specifically 
a...",,,success
