Company Name,Exhibitor,Website,LinkedIn URL,Country,Summary,Matched_Product,Distance_Score,Match_Reason,LinkedIn_Company,Scraped_Country,Scrape_Status
,Syntiant Corp.,https://www.syntiant.com/,,Unknown,"Syntiant® delivers highly efficient processor, sensor, and software solutions. With more than 100 million purpose-built silicon and ML models deployed, along with billions of MEMS microphones and sens...",ip_camera,115.54,"(NPU) capable of 12 TOPS (Trillions of Operations Per Second). This 
extreme processing power enables sophisticated AI on Edge for 
immediate analysis of video data, supporting applications like Intru...",https://www.linkedin.com/company/syntiant-corp/,,success
,Visionary.ai,https://www.visionary.ai/,,Unknown,"Listed in the 100 Most Promising AI Startups of 2023, Visionary.ai empowers cameras to capture state-of-the-art video quality in extreme low light and HDR. The software uses edge AI to deliver result...",ip_camera,120.62,"High Computational Capacity 
The processing foundation, such as the Qualcomm QCS 6490, is crucial because its 12 
TOPS NPU capability provides the enormous computational speed required to run 
demandi...",https://www.linkedin.com/company/visionary-ai/about/,,success
,Algorized,https://www.algorized.com/,,Unknown,"Algorized software platform leverages proprietary machine learning algorithms and advanced sensor fusion techniques, including ultra-wideband (UWB) and wireless sensors, to enable real-time human pres...",ip_camera,122.84,"• Description: Key features include Fall Detection and Emergency Alert 
Response, Privacy-Preserving Video Clips, Real-time Vital Capture, Natural 
Language Understanding (NLU) Based Secondary Check, ...",https://www.linkedin.com/company/algorized,USA,success
,Telit Cinterion,https://www.telit.com/,,Unknown,"Telit Cinterion is a leading IoT enabler offering end-to-end solutions, from connected devices and wireless modules to MVNO connectivity, edge-cloud software and IoT platforms. As the largest western ...",ip_camera,129.22,"features for video playback, customization, and analytics. 
• Architecture: The solution uses Amazon Web Services (AWS) for cloud 
infrastructure, ReactJS for the frontend, NodeJS for the backend, and...",https://www.linkedin.com/company/269797/,,success
,"Quadric, Inc.",https://quadric.io/about/,,Unknown,Quadric® is a semiconductor IP licensing company offering unified hardware/software architecture for efficient on-device AI and DSP processing. Its Chimera™ GPNPU merges the strengths of NPUs and DSPs...,ip_camera,132.16,"High Computational Capacity 
The processing foundation, such as the Qualcomm QCS 6490, is crucial because its 12 
TOPS NPU capability provides the enormous computational speed required to run 
demandi...",https://www.linkedin.com/company/quadric.io,330 primrose rd,success
,Ubicept,https://www.ubicept.com/,,Unknown,Ubicept revolutionizes how machines perceive the world by combining next-generation image sensors with advanced computer vision algorithms.,ip_camera,132.84,"allows for flexible deployment, high-bandwidth video streaming back to the cloud, and 
reliable data uplink using the MQTT protocol. The ability to support FOTA (Firmware 
Over the Air) updates via th...",https://www.linkedin.com/company/ubicept,,success
,Cosito,https://www.zumafreegames.com/,,,"Venture-backed, MIT-founded startup building AI-powered microphones that let frontline teams log data by voice—no physical forms, no typing. Just say it, we log it!",ip_camera,134.52,"Information Technology stack, particularly the Cloud VMS, is like the remote recording 
studio and distribution platform, collecting the music (video streams/data), analyzing it 
(Amazon Rekognition),...",,,no_website
,Hailo,https://hailo.ai/products/ai-vision-processors/hailo-15-ai-vision-processor/,,Unknown,Hailo has developed the world’s most cost-efficient and power-efficient AI Processors designed to run sophisticated deep learning and generative AI applications on edge devices. Our AI accelerators an...,ip_camera,134.86,"High Computational Capacity 
The processing foundation, such as the Qualcomm QCS 6490, is crucial because its 12 
TOPS NPU capability provides the enormous computational speed required to run 
demandi...",https://www.linkedin.com/company/hailo-ai/,,success
,Pimic Inc.,https://www.pimic.ai/,,Unknown,"PIMIC is an AI semiconductor and solution company with patent pending processing-in-memory technology. This architecture can dramatically improve Power, Performance, and Area by 10x. Our solution can ...",ip_camera,142.87,"(NPU) capable of 12 TOPS (Trillions of Operations Per Second). This 
extreme processing power enables sophisticated AI on Edge for 
immediate analysis of video data, supporting applications like Intru...",https://www.linkedin.com/company/pimic,,success
Adaptive Recognition,Adaptive Recognition,https://adaptiverecognition.com/,https://www.linkedin.com/company/adaptive-recognition,Singapore,"Adaptive Recognition is a global leader in recognition technology, specializing in ANPR cameras, speed enforcement systems, ANPR software, and OCR-based ID readers. Our products combine advanced AI an...",ip_camera,147.28,"2. Embedded Security and Protection 
Differentiation is achieved by incorporating dedicated security components and 
rigorous design practices. 
• SE050 Secure Element (Authentication IC): The Smart G...",https://www.linkedin.com/company/adaptive-recognition,,success
,Puwell Technology Inc.,https://www.puwell.com/,,Unknown,"At Puwell, we're a leading provider of internet camera platform services, offering PaaS, SaaS, and HaaS. We focus on open cloud platforms and OEM collaboration. Our services include comprehensive Andr...",ip_camera,149.42,"• Camera Design: The camera supports a 3-camera design for capturing 
different angles and wide-angle viewing. 
• Edge Processing: It is powered by the Qualcomm QCS 6490 SOC and runs on 
Android 9.0. ...",,,success
,Kami Vision Inc.,https://kamivision.com/en-us,,Unknown,Kami Vision is an AI services company focused on safety and security solutions that improve the quality of life for people around the world. KamiCare is a Vision AI Fall Management solution for assist...,ip_camera,150.96,"• Description: Key features include Fall Detection and Emergency Alert 
Response, Privacy-Preserving Video Clips, Real-time Vital Capture, Natural 
Language Understanding (NLU) Based Secondary Check, ...",https://www.linkedin.com/company/kamivision/,,success
,iMogul AI,https://imogul.ai/,,Unknown,"iMogul AI is an entertainment-tech startup transforming how films, TV, and streaming projects get made by connecting screenwriters, audiences, and producers through AI-driven insights. Our platform me...",ip_camera,151.1,"• Video Encoding (FFmpeg): Within the cloud portal, FFmpeg is used for Video 
Encoding, ensuring seamless management and distribution of video content. 
• Live Streaming (WebRTC): For live streaming, ...",https://www.linkedin.com/company/imogulai/,,success
